Table 1
County Name,Flown Over X Times,Lattitude Centroid,Longitude Centroid,
'Wise County',19,36.97522315,-82.6212020717,
'Clay County',51,33.6556666121,-88.7815761672,
'La Salle County',184,28.3450693013,-99.0996626872,
'Lyon County',50,43.3804969625,-96.2102923903,
'Lafayette County',41,33.2409810885,-93.6070389924,
'Mahnomen County',14,47.3252360192,-95.8090496343,
'Perry County',119,37.7071366717,-89.8244110855,
'Anderson County',90,38.0039134141,-84.9910045711,
'Fentress County',136,36.3804933554,-84.932458522,
'Pickett County',107,36.5584092548,-85.0749898228,
'Seneca County',90,41.1238795774,-83.1277054408,
'Callahan County',171,32.2976557,-99.3734880839,
'Muskegon County',172,43.2899298863,-86.5352341115,
'Siskiyou County',296,41.5926866339,-122.540367763,
'DeSoto County',257,34.8753989481,-89.9917699831,
'Dunklin County',128,36.2721371509,-90.0909046758,
'Ascension Parish',108,30.2035444978,-90.9112912896,
'Chesterfield County',324,37.378523092,-77.5869258358,
'Jackson County',89,37.7851065199,-89.3820759403,
'Tooele County',301,40.4487493593,-113.131090626,
'Gulf County',2,29.9086211231,-85.2610062794,
'Newton County',190,30.7863091928,-93.7447410133,
'Bath County',47,38.1449736906,-83.74266722,
'Armstrong County',217,40.8122907682,-79.4645390704,
'Hartley County',282,35.8400259506,-102.602862784,
'Sedgwick County',189,37.6847615589,-97.4609686791,
'Mercer County',144,40.5400113655,-84.6293603418,
'Cuming County',41,41.916402826,-96.787400407,
'Clay County',159,33.2690858673,-85.8605470841,
'Floyd County',161,34.263162689,-85.2142786499,
'Dakota County',38,42.3911118186,-96.564513018,
'Putnam County',167,38.5086167769,-81.9089929263,
'Macon County',103,32.3583825945,-84.0424794131,
'Caldwell County',209,35.9530379334,-81.5464366451,
'Lane County',138,38.4813047182,-100.466398449,
'Durham County',480,36.0360299243,-78.8765926949,
'Lewis and Clark County',90,47.1224429081,-112.390455011,
'Trousdale County',107,36.3920428566,-86.1567527604,
'Broward County',3862,26.1518560378,-80.4558842537,
'Eastland County',87,32.3270730707,-98.8323222504,
'Paulding County',92,41.1166208296,-84.5801945588,
'Ringgold County',86,40.7352022993,-94.2439719124,
'Jefferson County',291,41.1281451272,-78.9994214565,
'Jerauld County',80,44.0663458318,-98.6296749711,
'Mineral County',181,38.5388085859,-118.435214254,
'Ottawa County',88,36.835513749,-94.810429621,
'Beaufort County',213,35.486983815,-76.8453144055,
'Tunica County',234,34.6519495513,-90.3754987097,
'Bartholomew County',162,39.2059705721,-85.8976029732,
'Garland County',327,34.5767017575,-93.150399652,
'Koochiching County',51,48.2452683995,-93.7833663013,
'Upton County',50,31.3687302289,-102.043034893,
'San Francisco County',188,37.7597150131,-122.693975573,
'Monongalia County',200,39.6302838888,-80.0465441583,
'Randall County',102,34.965857001,-101.896944529,
'Howard County',79,39.1424974869,-92.6962654763,
'Calhoun County',13,30.4060343343,-85.1972071433,
'Kingsbury County',30,44.3695852597,-97.491476123,
'Floyd County',171,34.0724245507,-101.303234519,
'Linn County',344,44.4888787662,-122.534995075,
'Potter County',261,35.4012758182,-101.894004898,
'Carter County',92,36.2927208493,-82.1274783436,
'Nassau County',1246,40.7321421632,-73.585536665,
'Avery County',122,36.0766050343,-81.9226013745,
'Adams County',92,44.8895880248,-116.453882862,
'Tuolumne County',381,38.0276014047,-119.95475358,
'Darke County',260,40.1332239754,-84.6193191365,
'McDowell County',74,37.3785013178,-81.653583786,
'New Haven County',250,41.3488242868,-72.8998576911,
'Rock County',238,42.6712233677,-89.0715652079,
'Tuscola County',51,43.4913425333,-83.4398685744,
'Mississippi County',159,35.7639016515,-90.0541660119,
'Monroe County',118,33.8922415035,-88.4804669083,
'Swisher County',183,34.5303849906,-101.735026846,
'El Dorado County',226,38.7787375794,-120.524649929,
'Gates County',232,36.4449435708,-76.7005266521,
'Frio County',133,28.8678175883,-99.1082667829,
'Merrimack County',262,43.2974962568,-71.6802764616,
'Bulloch County',153,32.3968141786,-81.7431781429,
'Pontotoc County',95,34.2254421511,-89.0374096749,
'Burnet County',432,30.7882970504,-98.1824471655,
'Stewart County',82,32.0784621843,-84.8352023744,
'Lauderdale County',139,34.901372384,-87.6539980067,
'Portsmouth city',118,36.8590007836,-76.3567086184,
'Cleburne County',247,33.6745577167,-85.5187680028,
'Williamson County',277,35.8938381553,-86.8986535599,
'Cass County',128,39.9735467174,-90.247375054,
'Boise County',74,43.9891394613,-115.730322485,
'Shoshone County',190,47.3529575649,-115.892435463,
'Jones County',88,42.1212370657,-91.131465421,
'Dale County',93,31.4318270699,-85.6110368183,
'Guadalupe County',819,34.8633405971,-104.790631134,
'Albemarle County',108,38.0228983556,-78.5566760673,
'Claiborne County',114,31.9736926021,-90.9118133348,
'Tallapoosa County',164,32.8624049426,-85.7975022448,
'Baylor County',337,33.616489499,-99.2135151435,
'Grant County',24,45.934046167,-96.0121840981,
'Crawford County',42,37.5073151069,-94.8518113711,
'Hillsborough County',452,42.9152915059,-71.7160824662,
'Nueces County',153,27.7350347565,-97.516253851,
'Rensselaer County',291,42.7110535518,-73.5097121399,
'Yavapai County',2822,34.5998564246,-112.553944833,
'Morris County',1107,40.8620042241,-74.5445106674,
'Sullivan County',129,40.2106416142,-93.1115222539,
'Scurry County',76,32.7463149294,-100.916407078,
'Clark County',153,37.2355230437,-99.8203076918,
'Gladwin County',27,43.9906739447,-84.3882463136,
'Lancaster County',382,34.6866819092,-80.7054233818,
'Bergen County',696,40.9596717781,-74.0742255725,
'Wayne County',168,38.3243487435,-110.903793031,
'Lawrence County',60,38.7199480156,-87.7267298383,
'Champaign County',216,40.1400890018,-88.1991706674,
'Tulsa County',910,36.1210986495,-95.9414756124,
'Noble County',94,39.7659588693,-81.4555606055,
'Muscatine County',154,41.4839220534,-91.1127562492,
'Gilmer County',50,38.9240617743,-80.8570836304,
'Itawamba County',114,34.2799867489,-88.3613228409,
'Knox County',12,44.0272987421,-69.015547485,
'Conejos County',244,37.2006875346,-106.191627951,
